tzid,population
Etc/UTC,0
Africa/Abidjan,183763680
Europe/Moscow,724243712
Africa/Lagos,477087840
Africa/Johannesburg,341714816
Africa/Cairo,116267040
Africa/Casablanca,39160096
Europe/Paris,412209216
America/Adak,672.732177734375
America/Anchorage,847001.375
America/Caracas,75735744
America/Sao_Paulo,254945424
America/Asuncion,7011300.5
America/Lima,116466136
America/Mexico_City,162814432
America/Denver,23094566
America/Chicago,103404112
America/Phoenix,16648988
America/New_York,196160800
America/Halifax,2058863.375
America/Havana,11143761
America/Los_Angeles,66020084
America/Miquelon,5787
America/Noronha,3052.77587890625
America/Nuuk,55821.9765625
America/Santiago,19517222
America/Scoresbysund,384.0401916503906
America/St_Johns,518270.28125
Asia/Manila,1675741568
Asia/Jakarta,432027648
Australia/Brisbane,19501700
Australia/Sydney,16494844
Asia/Karachi,344572736
Pacific/Auckland,5310056.5
Antarctica/Troll,0
Pacific/Fiji,1501140
Asia/Dubai,43030552
Asia/Beirut,5086391
Asia/Dhaka,212219904
Asia/Tokyo,216661456
Asia/Kolkata,1476615808
Europe/Athens,85542552
Asia/Gaza,5152350.5
Asia/Jerusalem,11597563
Asia/Kabul,44347164
Asia/Kathmandu,31634826
Asia/Sakhalin,2391700.5
Asia/Tehran,90500888
Asia/Yangon,55127284
Atlantic/Azores,224878.296875
Europe/Lisbon,12180145
Atlantic/Cape_Verde,610209
Australia/Adelaide,1852221.75
Australia/Darwin,264649.3125
Australia/Eucla,102.75061798095703
Australia/Lord_Howe,375.90460205078125
Europe/Chisinau,3252562.75
Europe/Dublin,5121622
Europe/London,68442848
Pacific/Tongatapu,343772.1875
Pacific/Chatham,638.38238525390625
Pacific/Easter,7274.5732421875
Pacific/Gambier,2328.5
Pacific/Honolulu,1884546.125
Pacific/Kiritimati,11663.6005859375
Pacific/Marquesas,7705.958984375
Pacific/Pago_Pago,45096
Pacific/Norfolk,1998.4044189453125
Pacific/Pitcairn,69.27989196777344
