iana_name,abbreviation
Africa/Abidjan,GMT
Africa/Accra,GMT
Africa/Addis_Ababa,EAT
Africa/Algiers,CET
Africa/Asmara,EAT
Africa/Asmera,EAT
Africa/Bamako,GMT
Africa/Bangui,WAT
Africa/Banjul,GMT
Africa/Bissau,GMT
Africa/Blantyre,CAT
Africa/Brazzaville,WAT
Africa/Bujumbura,CAT
Africa/Cairo,EEST
Africa/Casablanca,+01
Africa/Ceuta,CEST
Africa/Conakry,GMT
Africa/Dakar,GMT
Africa/Dar_es_Salaam,EAT
Africa/Djibouti,EAT
Africa/Douala,WAT
Africa/El_Aaiun,+01
Africa/Freetown,GMT
Africa/Gaborone,CAT
Africa/Harare,CAT
Africa/Johannesburg,SAST
Africa/Juba,CAT
Africa/Kampala,EAT
Africa/Khartoum,CAT
Africa/Kigali,CAT
Africa/Kinshasa,WAT
Africa/Lagos,WAT
Africa/Libreville,WAT
Africa/Lome,GMT
Africa/Luanda,WAT
Africa/Lubumbashi,CAT
Africa/Lusaka,CAT
Africa/Malabo,WAT
Africa/Maputo,CAT
Africa/Maseru,SAST
Africa/Mbabane,SAST
Africa/Mogadishu,EAT
Africa/Monrovia,GMT
Africa/Nairobi,EAT
Africa/Ndjamena,WAT
Africa/Niamey,WAT
Africa/Nouakchott,GMT
Africa/Ouagadougou,GMT
Africa/Porto-Novo,WAT
Africa/Sao_Tome,GMT
Africa/Timbuktu,GMT
Africa/Tripoli,EET
Africa/Tunis,CET
Africa/Windhoek,CAT
America/Adak,HDT
America/Anchorage,AKDT
America/Anguilla,AST
America/Antigua,AST
America/Araguaina,-03
America/Argentina/Buenos_Aires,-03
America/Argentina/Catamarca,-03
America/Argentina/ComodRivadavia,-03
America/Argentina/Cordoba,-03
America/Argentina/Jujuy,-03
America/Argentina/La_Rioja,-03
America/Argentina/Mendoza,-03
America/Argentina/Rio_Gallegos,-03
America/Argentina/Salta,-03
America/Argentina/San_Juan,-03
America/Argentina/San_Luis,-03
America/Argentina/Tucuman,-03
America/Argentina/Ushuaia,-03
America/Aruba,AST
America/Asuncion,-04
America/Atikokan,EST
America/Atka,HDT
America/Bahia,-03
America/Bahia_Banderas,CST
America/Barbados,AST
America/Belem,-03
America/Belize,CST
America/Blanc-Sablon,AST
America/Boa_Vista,-04
America/Bogota,-05
America/Boise,MDT
America/Buenos_Aires,-03
America/Cambridge_Bay,MDT
America/Campo_Grande,-04
America/Cancun,EST
America/Caracas,-04
America/Catamarca,-03
America/Cayenne,-03
America/Cayman,EST
America/Chicago,CDT
America/Chihuahua,CST
America/Ciudad_Juarez,MDT
America/Coral_Harbour,EST
America/Cordoba,-03
America/Costa_Rica,CST
America/Creston,MST
America/Cuiaba,-04
America/Curacao,AST
America/Danmarkshavn,GMT
America/Dawson,MST
America/Dawson_Creek,MST
America/Denver,MDT
America/Detroit,EDT
America/Dominica,AST
America/Edmonton,MDT
America/Eirunepe,-05
America/El_Salvador,CST
America/Ensenada,PDT
America/Fort_Nelson,MST
America/Fort_Wayne,EDT
America/Fortaleza,-03
America/Glace_Bay,ADT
America/Godthab,-01
America/Goose_Bay,ADT
America/Grand_Turk,EDT
America/Grenada,AST
America/Guadeloupe,AST
America/Guatemala,CST
America/Guayaquil,-05
America/Guyana,-04
America/Halifax,ADT
America/Havana,CDT
America/Hermosillo,MST
America/Indiana/Indianapolis,EDT
America/Indiana/Knox,CDT
America/Indiana/Marengo,EDT
America/Indiana/Petersburg,EDT
America/Indiana/Tell_City,CDT
America/Indiana/Vevay,EDT
America/Indiana/Vincennes,EDT
America/Indiana/Winamac,EDT
America/Indianapolis,EDT
America/Inuvik,MDT
America/Iqaluit,EDT
America/Jamaica,EST
America/Jujuy,-03
America/Juneau,AKDT
America/Kentucky/Louisville,EDT
America/Kentucky/Monticello,EDT
America/Knox_IN,CDT
America/Kralendijk,AST
America/La_Paz,-04
America/Lima,-05
America/Los_Angeles,PDT
America/Louisville,EDT
America/Lower_Princes,AST
America/Maceio,-03
America/Managua,CST
America/Manaus,-04
America/Marigot,AST
America/Martinique,AST
America/Matamoros,CDT
America/Mazatlan,MST
America/Mendoza,-03
America/Menominee,CDT
America/Merida,CST
America/Metlakatla,AKDT
