microsoft_id,microsoft_display,feather_display_string,iana_name,abbreviation
200,Hawaiian Standard Time,(UTC-10:00) Hawaii,Pacific/Honolulu,HST
300,Alaskan Standard Time,(UTC-09:00) Alaska,America/Anchorage,AKDT
400,Pacific Standard Time,(UTC-08:00) Pacific Time (US and Canada),America/Los_Angeles,PDT
410,Pacific Standard Time (Mexico),(UTC-08:00)Baja California,America/Tijuana,PDT
500,Mountain Standard Time,(UTC-07:00) Mountain Time (US and Canada),America/Denver,MDT
510,Mountain Standard Time (Mexico),"(UTC-07:00) Chihuahua, La Paz, Mazatlan",America/Mazatlan,MST
520,US Mountain Standard Time,(UTC-07:00) Arizona,America/Phoenix,MST
600,Canada Central Standard Time,(UTC-06:00) Saskatchewan,America/Regina,CST
610,Central America Standard Time,(UTC-06:00) Central America,America/Guatemala,CST
620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),America/Chicago,CDT
630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey",America/Mexico_City,CST
700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),America/New_York,EDT
710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito",America/Bogota,-05
720,US Eastern Standard Time,(UTC-05:00) Indiana (East),America/Indianapolis,EDT
840,Venezuela Standard Time,(UTC-04:30) Caracas,America/Caracas,-04
800,Atlantic Standard Time,(UTC-04:00) Atlantic Time (Canada),America/Halifax,ADT
810,Central Brazilian Standard Time,(UTC-04:00) Cuiaba,America/Cuiaba,-04
820,Pacific SA Standard Time,(UTC-04:00) Santiago,America/Santiago,-03
830,SA Western Standard Time,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",America/La_Paz,-04
850,Paraguay Standard Time,(UTC-04:00) Asuncion,America/Asuncion,-04
900,Newfoundland Standard Time,(UTC-03:30) Newfoundland,America/St_Johns,NDT
910,E. South America Standard Time,(UTC-03:00) Brasilia,America/Sao_Paulo,-03
920,Greenland Standard Time,(UTC-03:00) Greenland,America/Godthab,-01
930,Montevideo Standard Time,(UTC-03:00) Montevideo,America/Montevideo,-03
940,SA Eastern Standard Time,"(UTC-03:00) Cayenne, Fortaleza",America/Cayenne,-03
950,Argentina Standard Time,(UTC-03:00) Buenos Aires,America/Buenos_Aires,-03
1100,Azores Standard Time,(UTC-01:00) Azores,Atlantic/Azores,+00
1200,GMT Standard Time,"(UTC) Dublin, Edinburgh, Lisbon, London",Europe/London,BST
1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",Atlantic/Reykjavik,GMT
1220,Morocco Standard Time,(UTC) Casablanca,Africa/Casablanca,+01
1300,Central Europe Standard Time,"(UTC+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Europe/Budapest,CEST
1310,Central European Standard Time,"(UTC+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Europe/Warsaw,CEST
1320,Romance Standard Time,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris",Europe/Paris,CEST
1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,Africa/Lagos,WAT
1340,W. Europe Standard Time,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Europe/Berlin,CEST
1350,Namibia Standard Time,(UTC+01:00) Windhoek,Africa/Windhoek,CAT
1400,E. Europe Standard Time,(UTC+02:00) Minsk,Europe/Chisinau,EEST
1410,Egypt Standard Time,(UTC+02:00) Cairo,Africa/Cairo,EEST
1420,FLE Standard Time,"(UTC+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Europe/Kiev,EEST
1430,GTB Standard Time,"(UTC+02:00) Athens, Bucharest",Europe/Bucharest,EEST
1440,Israel Standard Time,(UTC+02:00) Jerusalem,Asia/Jerusalem,IDT
1450,Jordan Standard Time,(UTC+02:00) Amman,Asia/Amman,+03
1460,Middle East Standard Time,(UTC+02:00) Beirut,Asia/Beirut,EEST
1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria",Africa/Johannesburg,SAST
1480,Syria Standard Time,(UTC+02:00) Damascus,Asia/Damascus,+03
1490,Turkey Standard Time,(UTC+02:00) Istanbul,Europe/Istanbul,+03
1500,Arab Standard Time,"(UTC+03:00) Kuwait, Riyadh",Asia/Riyadh,+03
1510,Arabic Standard Time,(UTC+03:00) Baghdad,Asia/Baghdad,+03
1520,E. Africa Standard Time,(UTC+03:00) Nairobi,Africa/Nairobi,EAT
1530,Kaliningrad Standard Time,(UTC+03:00) Kaliningrad,Europe/Kaliningrad,EET
1550,Iran Standard Time,(UTC+03:30) Tehran,Asia/Tehran,+0330
1540,Russian Standard Time,"(UTC+04:00) Moscow, St. Petersburg, Volgograd",Europe/Moscow,MSK
1600,Arabian Standard Time,"(UTC+04:00) Abu Dhabi, Muscat",Asia/Dubai,+04
1610,Azerbaijan Standard Time,(UTC+04:00) Baku,Asia/Baku,+04
1620,Caucasus Standard Time,(UTC+04:00) Yerevan,Asia/Yerevan,+04
1640,Georgian Standard Time,(UTC+04:00) Tbilisi,Asia/Tbilisi,+04
1650,Mauritius Standard Time,(UTC+04:00) Port Louis,Indian/Mauritius,+04
1630,Afghanistan Standard Time,(UTC+04:30) Kabul,Asia/Kabul,+0430
1710,West Asia Standard Time,(UTC+05:00) Tashkent,Asia/Tashkent,+05
1750,Pakistan Standard Time,"(UTC+05:00) Islamabad, Karachi",Asia/Karachi,PKT
1720,India Standard Time,"(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi",Asia/Calcutta,IST
1730,Sri Lanka Standard Time,(UTC+05:30) Sri Jayawardenepura,Asia/Colombo,+0530
1740,Nepal Standard Time,(UTC+05:45) Kathmandu,Asia/Katmandu,+0545
1700,Ekaterinburg Standard Time,(UTC+06:00) Ekaterinburg,Asia/Yekaterinburg,+05
1800,Central Asia Standard Time,(UTC+06:00) Astana,Asia/Bishkek,+06
1830,Bangladesh Standard Time,(UTC+06:00) Dhaka,Asia/Dhaka,+06
1820,Myanmar Standard Time,(UTC+06:30) Yangon (Rangoon),Asia/Rangoon,+0630
1810,N. Central Asia Standard Time,(UTC+07:00) Novosibirsk,Asia/Novosibirsk,+07
1910,SE Asia Standard Time,"(UTC+07:00) Bangkok, Hanoi, Jakarta",Asia/Bangkok,+07
1900,North Asia Standard Time,(UTC+08:00) Krasnoyarsk,Asia/Krasnoyarsk,+07
2000,China Standard Time,"(UTC+08:00) Beijing, Chongqing, Hong Kong, Urumqi",Asia/Shanghai,CST
2020,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",Asia/Singapore,+08
2030,Taipei Standard Time,(UTC+08:00) Taipei,Asia/Taipei,CST
2040,W. Australia Standard Time,(UTC+08:00) Perth,Australia/Perth,AWST
2050,Ulaanbaatar Standard Time,(UTC+08:00) Ulaanbaatar,Asia/Ulaanbaatar,+08
2010,North Asia East Standard Time,(UTC+09:00) Irkutsk,Asia/Irkutsk,+08
2100,Korea Standard Time,(UTC+09:00) Seoul,Asia/Seoul,KST
2110,Tokyo Standard Time,"(UTC+09:00) Osaka, Sapporo, Tokyo",Asia/Tokyo,JST
2130,AUS Central Standard Time,(UTC+09:30) Darwin,Australia/Darwin,ACST
2140,Cen. Australia Standard Time,(UTC+09:30) Adelaide,Australia/Adelaide,ACST
2120,Yakutsk Standard Time,(UTC+10:00) Yakutsk,Asia/Yakutsk,+09
2200,AUS Eastern Standard Time,"(UTC+10:00) Canberra, Melbourne, Sydney",Australia/Sydney,AEST
2210,E. Australia Standard Time,(UTC+10:00) Brisbane,Australia/Brisbane,AEST
2220,Tasmania Standard Time,(UTC+10:00) Hobart,Australia/Hobart,AEST
2240,West Pacific Standard Time,"(UTC+10:00) Guam, Port Moresby",Pacific/Port_Moresby,+10
2230,Vladivostok Standard Time,(UTC+11:00) Vladivostok,Asia/Vladivostok,+10
2300,Central Pacific Standard Time,"(UTC+11:00) Solomon Is., New Caledonia",Pacific/Guadalcanal,+11
2310,Magadan Standard Time,(UTC+12:00) Magadan,Asia/Magadan,+11
2400,Fiji Standard Time,(UTC+12:00) Fiji,Pacific/Fiji,+12
2410,New Zealand Standard Time,"(UTC+12:00) Auckland, Wellington",Pacific/Auckland,NZST
2500,Tonga Standard Time,(UTC+13:00) Nuku'alofa,Pacific/Tongatapu,+13
2510,Samoa Standard Time,(UTC-11:00)Samoa,Pacific/Apia,+13
