iana_name,standard_abbr,iana_group_abbr,iana_group,windows_id,windows_name,windows_display,windows_group_id,windows_group_name,windows_group_display,closest_windows_display
Asia/Manila,PT,PT,Asia/Manila,2020,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",2020,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore","(UTC+08:00) Kuala Lumpur, Singapore"
Asia/Kolkata,IST,IST,Asia/Kolkata,NA,India Standard Time,"(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi",NA,India Standard Time,"(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi","(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi"
Europe/Moscow,MSK,MSK,Europe/Moscow,1540,Russian Standard Time,"(UTC+04:00) Moscow, St. Petersburg, Volgograd",1540,Russian Standard Time,"(UTC+04:00) Moscow, St. Petersburg, Volgograd","(UTC+04:00) Moscow, St. Petersburg, Volgograd"
Africa/Lagos,WAT,WAT,Africa/Lagos,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,1330,W. Central Africa Standard Time,(UTC+01:00) West Central Africa,(UTC+01:00) West Central Africa
Asia/Jakarta,WIB,WIB,Asia/Jakarta,1910,SE Asia Standard Time,"(UTC+07:00) Bangkok, Hanoi, Jakarta",1910,SE Asia Standard Time,"(UTC+07:00) Bangkok, Hanoi, Jakarta","(UTC+07:00) Bangkok, Hanoi, Jakarta"
Europe/Paris,CET,CET,Europe/Paris,1320,Romance Standard Time,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris",1320,Romance Standard Time,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris","(UTC+01:00) Brussels, Copenhagen, Madrid, Paris"
Asia/Karachi,PKT,PKT,Asia/Karachi,1750,Pakistan Standard Time,"(UTC+05:00) Islamabad, Karachi",1750,Pakistan Standard Time,"(UTC+05:00) Islamabad, Karachi","(UTC+05:00) Islamabad, Karachi"
Africa/Johannesburg,SAST,SAST,Africa/Johannesburg,1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria",1470,South Africa Standard Time,"(UTC+02:00) Harare, Pretoria","(UTC+02:00) Harare, Pretoria"
America/Sao_Paulo,-03,-03,America/Sao_Paulo,910,E. South America Standard Time,(UTC-03:00) Brasilia,910,E. South America Standard Time,(UTC-03:00) Brasilia,(UTC-03:00) Brasilia
Asia/Tokyo,JST,JST,Asia/Tokyo,2110,Tokyo Standard Time,"(UTC+09:00) Osaka, Sapporo, Tokyo",2110,Tokyo Standard Time,"(UTC+09:00) Osaka, Sapporo, Tokyo","(UTC+09:00) Osaka, Sapporo, Tokyo"
Asia/Dhaka,+06,+06,Asia/Dhaka,1830,Bangladesh Standard Time,(UTC+06:00) Dhaka,1830,Bangladesh Standard Time,(UTC+06:00) Dhaka,(UTC+06:00) Dhaka
America/New_York,ET,ET,America/New_York,700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),700,Eastern Standard Time,(UTC-05:00) Eastern Time (US and Canada),(UTC-05:00) Eastern Time (US and Canada)
Africa/Abidjan,GMT,GMT,Africa/Abidjan,1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik",1210,Greenwich Standard Time,"(UTC) Monrovia, Reykjavik","(UTC) Monrovia, Reykjavik"
America/Mexico_City,CT,CT,America/Mexico_City,630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey",630,Central Standard Time (Mexico),"((UTC-06:00) Guadalajara, Mexico City, Monterrey","((UTC-06:00) Guadalajara, Mexico City, Monterrey"
America/Lima,-05,-05,America/Lima,710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito",710,SA Pacific Standard Time,"(UTC-05:00) Bogota, Lima, Quito","(UTC-05:00) Bogota, Lima, Quito"
Africa/Cairo,EET,EET,Africa/Cairo,1410,Egypt Standard Time,(UTC+02:00) Cairo,1410,Egypt Standard Time,(UTC+02:00) Cairo,(UTC+02:00) Cairo
America/Chicago,CT,CT,America/Chicago,620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),620,Central Standard Time,(UTC-06:00) Central Time (US and Canada),(UTC-06:00) Central Time (US and Canada)
Asia/Tehran,+0330,+0330,Asia/Tehran,1550,Iran Standard Time,(UTC+03:30) Tehran,1550,Iran Standard Time,(UTC+03:30) Tehran,(UTC+03:30) Tehran
Europe/Athens,EET,EET,Europe/Athens,1430,GTB Standard Time,"(UTC+02:00) Athens, Bucharest",1430,GTB Standard Time,"(UTC+02:00) Athens, Bucharest","(UTC+02:00) Athens, Bucharest"
America/Caracas,-04,-04,America/Caracas,840,Venezuela Standard Time,(UTC-04:30) Caracas,840,Venezuela Standard Time,(UTC-04:30) Caracas,(UTC-04:30) Caracas
Europe/London,GMT,GMT,Europe/London,1200,GMT Standard Time,"(UTC) Dublin, Edinburgh, Lisbon, London",1200,GMT Standard Time,"(UTC) Dublin, Edinburgh, Lisbon, London","(UTC) Dublin, Edinburgh, Lisbon, London"
America/Los_Angeles,PT,PT,America/Los_Angeles,400,Pacific Standard Time,(UTC-08:00) Pacific Time (US and Canada),400,Pacific Standard Time,(UTC-08:00) Pacific Time (US and Canada),(UTC-08:00) Pacific Time (US and Canada)
Asia/Yangon,+0630,+0630,Asia/Yangon,NA,Myanmar Standard Time,(UTC+06:30) Yangon (Rangoon),NA,Myanmar Standard Time,(UTC+06:30) Yangon (Rangoon),(UTC+06:30) Yangon (Rangoon)
Asia/Kabul,+0430,+0430,Asia/Kabul,1630,Afghanistan Standard Time,(UTC+04:30) Kabul,1630,Afghanistan Standard Time,(UTC+04:30) Kabul,(UTC+04:30) Kabul
Asia/Dubai,+04,+04,Asia/Dubai,1600,Arabian Standard Time,"(UTC+04:00) Abu Dhabi, Muscat",1600,Arabian Standard Time,"(UTC+04:00) Abu Dhabi, Muscat","(UTC+04:00) Abu Dhabi, Muscat"
Africa/Casablanca,+01,+01,Africa/Casablanca,1220,Morocco Standard Time,(UTC) Casablanca,1220,Morocco Standard Time,(UTC) Casablanca,(UTC) Casablanca
