iana_name,standard_abbr,standard_utc_offset,windows_name,windows_display,custom_label,current_iana_name,current_standard_abbr,current_standard_utc_offset,current_windows_name,current_windows_display,current_custom_label,closest_sig_current_iana_name,closest_sig_current_standard_abbr,closest_sig_current_standard_utc_offset,closest_sig_current_windows_name,closest_sig_current_windows_display,closest_sig_current_custom_label
Antarctica/Casey,+08,+0800,Central Pacific Standard Time,"(UTC+11:00) Solomon Is., New Caledonia",+08:00 Antarctica/Casey,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila
Asia/Brunei,+08,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Brunei,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila
Asia/Choibalsan,+08,+0800,NA,NA,+08:00 Asia/Choibalsan,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila
Asia/Chongqing,CT,+0800,NA,NA,+08:00 Asia/Chongqing,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila
Asia/Chungking,CT,+0800,NA,NA,+08:00 Asia/Chungking,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila
Asia/Harbin,CT,+0800,NA,NA,+08:00 Asia/Harbin,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila
Asia/Hong_Kong,HKT,+0800,China Standard Time,"(UTC+08:00) Beijing, Chongqing, Hong Kong SAR, Urumqi",+08:00 Asia/Hong_Kong,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila
Asia/Irkutsk,+08,+0800,North Asia East Standard Time,(UTC+09:00) Irkutsk,+08:00 Asia/Irkutsk,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila
Asia/Kuala_Lumpur,+08,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Kuala_Lumpur,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila
Asia/Kuching,+08,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Kuching,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila
Asia/Macao,CT,+0800,NA,NA,+08:00 Asia/Macao,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila
Asia/Macau,CT,+0800,China Standard Time,"(UTC+08:00) Beijing, Chongqing, Hong Kong SAR, Urumqi",+08:00 Asia/Macau,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila
Asia/Makassar,WITA,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Makassar,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila,Asia/Manila,PT,+0800,Singapore Standard Time,"(UTC+08:00) Kuala Lumpur, Singapore",+08:00 Asia/Manila
